name,metric,question_id,value
threshold0-6,faithfulness,0,0.0
threshold0-6,faithfulness,1,0.6666666666666666
threshold0-6,faithfulness,2,0.6666666666666666
threshold0-6,faithfulness,3,0.5
threshold0-6,faithfulness,4,0.5
threshold0-6,faithfulness,5,0.0
threshold0-6,faithfulness,6,1.0
threshold0-6,faithfulness,7,1.0
threshold0-6,faithfulness,8,0.3333333333333333
threshold0-6,faithfulness,9,0.6666666666666666
threshold0-6,faithfulness,10,0.5
threshold0-6,faithfulness,11,0.0
threshold0-6,faithfulness,12,0.5
threshold0-6,faithfulness,13,0.5
threshold0-6,faithfulness,14,1.0
threshold0-6,faithfulness,15,0.5
threshold0-6,faithfulness,16,0.3333333333333333
threshold0-6,faithfulness,17,0.0
threshold0-6,faithfulness,18,0.0
threshold0-6,faithfulness,19,1.0
threshold0-6,faithfulness,20,0.3333333333333333
threshold0-6,faithfulness,21,0.3333333333333333
threshold0-6,faithfulness,22,1.0
threshold0-6,faithfulness,23,1.0
threshold0-6,faithfulness,24,0.5
threshold0-6,faithfulness,25,1.0
threshold0-6,faithfulness,26,0.6666666666666666
threshold0-6,faithfulness,27,0.0
threshold0-6,faithfulness,28,0.0
threshold0-6,faithfulness,29,0.5
threshold0-6,faithfulness,30,0.0
threshold0-6,faithfulness,31,0.0
threshold0-6,faithfulness,32,0.0
threshold0-6,faithfulness,33,0.0
threshold0-6,faithfulness,34,1.0
threshold0-6,faithfulness,35,1.0
threshold0-6,faithfulness,36,0.5
threshold0-6,faithfulness,37,1.0
threshold0-6,faithfulness,38,1.0
threshold0-6,faithfulness,39,0.5
threshold0-6,faithfulness,40,0.6666666666666666
threshold0-6,faithfulness,41,1.0
threshold0-6,faithfulness,42,0.0
threshold0-6,faithfulness,43,0.0
threshold0-6,faithfulness,44,1.0
threshold0-6,faithfulness,45,1.0
threshold0-6,faithfulness,46,0.0
threshold0-6,faithfulness,47,0.6666666666666666
threshold0-6,faithfulness,48,1.0
threshold0-6,faithfulness,49,0.0
threshold0-6,faithfulness,50,0.0
threshold0-6,faithfulness,51,0.6666666666666666
threshold0-6,faithfulness,52,0.75
threshold0-6,faithfulness,53,0.6666666666666666
threshold0-6,faithfulness,54,0.14285714285714285
threshold0-6,faithfulness,55,1.0
threshold0-6,faithfulness,56,1.0
threshold0-6,faithfulness,58,0.5
threshold0-6,faithfulness,59,1.0
threshold0-6,faithfulness,60,0.6666666666666666
threshold0-6,faithfulness,61,0.6666666666666666
threshold0-6,faithfulness,62,0.5
threshold0-6,faithfulness,63,0.5
threshold0-6,faithfulness,64,0.0
threshold0-6,faithfulness,65,0.6666666666666666
threshold0-6,faithfulness,66,0.0
threshold0-6,faithfulness,67,0.2
threshold0-6,faithfulness,68,0.2
threshold0-6,faithfulness,69,0.6666666666666666
threshold0-6,faithfulness,70,1.0
threshold0-6,faithfulness,71,0.25
threshold0-6,faithfulness,72,1.0
threshold0-6,faithfulness,73,1.0
threshold0-6,faithfulness,74,1.0
threshold0-6,faithfulness,75,0.0
threshold0-6,faithfulness,76,0.5
threshold0-6,faithfulness,77,0.75
threshold0-6,faithfulness,78,0.5
threshold0-6,faithfulness,79,1.0
threshold0-6,faithfulness,80,0.5
threshold0-6,faithfulness,81,1.0
threshold0-6,faithfulness,82,1.0
threshold0-6,faithfulness,83,0.0
threshold0-6,faithfulness,84,0.5
threshold0-6,faithfulness,85,1.0
threshold0-6,faithfulness,86,1.0
threshold0-6,faithfulness,87,0.75
threshold0-6,faithfulness,88,0.5
threshold0-6,faithfulness,90,0.75
threshold0-6,faithfulness,91,0.3333333333333333
threshold0-6,faithfulness,92,0.5
threshold0-6,faithfulness,93,1.0
threshold0-6,faithfulness,94,1.0
threshold0-6,faithfulness,95,0.0
threshold0-6,faithfulness,96,0.8
threshold0-6,faithfulness,97,0.75
threshold0-6,faithfulness,98,0.0
threshold0-6,faithfulness,99,0.75
threshold0-6,answer_relevancy,0,-0.0
threshold0-6,answer_relevancy,1,0.7796288555289833
threshold0-6,answer_relevancy,2,0.0
threshold0-6,answer_relevancy,3,0.0
threshold0-6,answer_relevancy,4,-0.0
threshold0-6,answer_relevancy,5,0.8852187423856278
threshold0-6,answer_relevancy,6,0.7732629362957625
threshold0-6,answer_relevancy,8,0.9335638363363427
