name,metric,question_id,value
0.52,faithfulness,0,0.3333333333333333
0.52,faithfulness,1,0.2857142857142857
0.52,faithfulness,2,0.6
0.52,faithfulness,3,0.8888888888888888
0.52,faithfulness,4,0.0
0.52,faithfulness,5,0.0
0.52,faithfulness,6,0.6
0.52,faithfulness,7,0.6
0.52,faithfulness,8,0.6666666666666666
0.52,faithfulness,9,0.5
0.52,faithfulness,10,1.0
0.52,faithfulness,11,0.8571428571428571
0.52,faithfulness,12,1.0
0.52,faithfulness,13,1.0
0.52,faithfulness,14,0.75
0.52,faithfulness,15,0.4
0.52,faithfulness,16,1.0
0.52,faithfulness,17,0.0
0.52,faithfulness,18,1.0
0.52,faithfulness,19,1.0
0.52,faithfulness,20,0.8
0.52,faithfulness,21,1.0
0.52,faithfulness,22,1.0
0.52,faithfulness,23,0.8
0.52,faithfulness,24,0.0
0.52,faithfulness,25,1.0
0.52,faithfulness,26,0.3333333333333333
0.52,faithfulness,27,0.5
0.52,faithfulness,28,0.5
0.52,faithfulness,29,0.0
0.52,answer_relevancy,0,0.0
0.52,answer_relevancy,1,0.8409289875438603
0.52,answer_relevancy,2,0.518979158839485
0.52,answer_relevancy,3,0.5605441331166862
0.52,answer_relevancy,4,-0.0
0.52,answer_relevancy,5,0.0
0.52,answer_relevancy,6,0.09267047568720936
0.52,answer_relevancy,7,0.474374222146618
0.52,answer_relevancy,8,0.9344483888557983
0.52,answer_relevancy,9,0.8117891727099256
0.52,answer_relevancy,10,0.9506502014573432
0.52,answer_relevancy,11,0.5530071044901773
0.52,answer_relevancy,12,0.9643502809102942
0.52,answer_relevancy,13,0.9835921509196751
0.52,answer_relevancy,14,0.9999837012512572
0.52,answer_relevancy,15,0.9759173794750812
0.52,answer_relevancy,16,0.9676529688373371
0.52,answer_relevancy,17,-0.0
0.52,answer_relevancy,18,0.9959851606436908
0.52,answer_relevancy,19,0.9987906178477332
0.52,answer_relevancy,20,0.8341231573010127
0.52,answer_relevancy,21,0.9172797444451634
0.52,answer_relevancy,22,0.8338025060039816
0.52,answer_relevancy,23,0.9196389116081077
0.52,answer_relevancy,24,0.0
0.52,answer_relevancy,25,0.8670056466593351
0.52,answer_relevancy,26,0.0
0.52,answer_relevancy,27,0.0
0.52,answer_relevancy,28,0.10883469176021776
0.52,answer_relevancy,29,-0.0
0.52,context_recall,0,0.0
0.52,context_recall,1,1.0
0.52,context_recall,2,1.0
0.52,context_recall,3,1.0
0.52,context_recall,4,1.0
0.52,context_recall,5,1.0
0.52,context_recall,6,1.0
0.52,context_recall,7,1.0
0.52,context_recall,8,1.0
0.52,context_recall,9,1.0
0.52,context_recall,10,0.0
0.52,context_recall,11,0.8333333333333334
0.52,context_recall,12,1.0
0.52,context_recall,13,0.6666666666666666
0.52,context_recall,14,0.75
0.52,context_recall,15,0.6666666666666666
0.52,context_recall,16,1.0
0.52,context_recall,17,0.75
0.52,context_recall,18,1.0
0.52,context_recall,19,0.0
0.52,context_recall,20,1.0
0.52,context_recall,21,0.0
0.52,context_recall,22,1.0
0.52,context_recall,23,1.0
0.52,context_recall,24,1.0
0.52,context_recall,25,1.0
0.52,context_recall,26,1.0
0.52,context_recall,27,0.0
0.52,context_recall,28,1.0
0.52,context_recall,29,0.75
0.52,context_precision,0,0.6028611542313853
0.52,context_precision,1,0.8200500074150046
0.52,context_precision,2,0.48749999998375
0.52,context_precision,3,0.9964803564942707
0.52,context_precision,4,0.9964803564942707
0.52,context_precision,5,0.9868411097507538
0.52,context_precision,6,0.911506472582884
0.52,context_precision,7,0.8696344811022737
0.52,context_precision,8,0.9999999999979999
0.52,context_precision,9,0.2973894682587184
0.52,context_precision,10,0.9111207390402157
0.52,context_precision,11,0.7836553913811262
0.52,context_precision,12,0.6860445141401479
0.52,context_precision,13,0.8489822799058404
0.52,context_precision,14,0.6384692099275024
0.52,context_precision,15,0.8575095128073805
0.52,context_precision,16,0.9214625536270353
0.52,context_precision,17,0.6843528905232857
0.52,context_precision,18,0.9999999999979999
0.52,context_precision,19,0.44114191560509913
0.52,context_precision,20,0.12868960896123358
0.52,context_precision,21,0.969809632784713
0.52,context_precision,22,0.9081906780486527
0.52,context_precision,23,0.9116516821676861
0.52,context_precision,24,0.8108893316352864
0.52,context_precision,25,0.9196989133570027
0.52,context_precision,26,0.766921768696527
0.52,context_precision,27,0.6454872249408642
0.52,context_precision,28,0.11111111109999999
0.52,context_precision,29,0.601634773338238
